Generated with : QBlade CE v2.0.9.7b_beta windows
Archive Format: 310043
Time : 13:52:05
Date : 13.05.2026

    WIND [m/s]     ROT [rpm]   PITCH [deg]     POWER [W]    THRUST [N]   TORQUE [Nm]       TSR [-]        CP [-]        CT [-]        CM [-]

  7.000000E+00  2.000000E+02  0.000000E+00  9.337807E-01  9.936192E-01  4.458475E-02  8.961019E-01  1.577252E-02  1.174828E-01  1.760126E-02
  7.000000E+00  3.000000E+02  0.000000E+00  2.121256E+00  1.154814E+00  6.752166E-02  1.344153E+00  3.583020E-02  1.365420E-01  2.665634E-02
  7.000000E+00  4.000000E+02  0.000000E+00  4.151935E+00  1.435300E+00  9.912014E-02  1.792204E+00  7.013047E-02  1.697060E-01  3.913086E-02
  7.000000E+00  5.000000E+02  0.000000E+00  7.389778E+00  1.888704E+00  1.411344E-01  2.240255E+00  1.248210E-01  2.233152E-01  5.571732E-02
  7.000000E+00  6.000000E+02  0.000000E+00  1.173502E+01  2.526014E+00  1.867686E-01  2.688306E+00  1.982166E-01  2.986689E-01  7.373290E-02
  7.000000E+00  7.000000E+02  0.000000E+00  1.622260E+01  3.255553E+00  2.213063E-01  3.136357E+00  2.740165E-01  3.849277E-01  8.736778E-02
  7.000000E+00  8.000000E+02  0.000000E+00  2.016475E+01  3.993831E+00  2.406990E-01  3.584408E+00  3.406035E-01  4.722196E-01  9.502365E-02
  7.000000E+00  9.000000E+02  0.000000E+00  2.312215E+01  4.664135E+00  2.453337E-01  4.032459E+00  3.905571E-01  5.514745E-01  9.685335E-02
  7.000000E+00  1.000000E+03  0.000000E+00  2.518152E+01  5.238215E+00  2.404658E-01  4.480510E+00  4.253419E-01  6.193522E-01  9.493160E-02
  7.000000E+00  1.100000E+03  0.000000E+00  2.670742E+01  5.746891E+00  2.318519E-01  4.928560E+00  4.511159E-01  6.794965E-01  9.153098E-02
  7.000000E+00  1.200000E+03  0.000000E+00  2.783660E+01  6.205387E+00  2.215166E-01  5.376611E+00  4.701890E-01  7.337078E-01  8.745080E-02
  7.000000E+00  1.300000E+03  0.000000E+00  2.856463E+01  6.607519E+00  2.098247E-01  5.824662E+00  4.824861E-01  7.812548E-01  8.283504E-02
  7.000000E+00  1.400000E+03  0.000000E+00  2.890718E+01  6.956076E+00  1.971737E-01  6.272713E+00  4.882722E-01  8.224673E-01  7.784066E-02
  7.000000E+00  1.500000E+03  0.000000E+00  2.894138E+01  7.271019E+00  1.842466E-01  6.720764E+00  4.888499E-01  8.597052E-01  7.273725E-02
  7.000000E+00  1.600000E+03  0.000000E+00  2.861337E+01  7.584905E+00  1.707735E-01  7.168815E+00  4.833095E-01  8.968183E-01  6.741832E-02
  7.000000E+00  1.700000E+03  0.000000E+00  2.800597E+01  7.856510E+00  1.573161E-01  7.616866E+00  4.730499E-01  9.289321E-01  6.210558E-02
  7.000000E+00  1.800000E+03  0.000000E+00  2.724242E+01  8.108350E+00  1.445255E-01  8.064918E+00  4.601526E-01  9.587089E-01  5.705608E-02
  7.000000E+00  1.900000E+03  0.000000E+00  2.637959E+01  8.350526E+00  1.325824E-01  8.512968E+00  4.455785E-01  9.873432E-01  5.234115E-02
  7.000000E+00  2.000000E+03  0.000000E+00  2.535239E+01  8.585663E+00  1.210488E-01  8.961020E+00  4.282281E-01  1.015145E+00  4.778789E-02
