Blade Geometry Data
Section,Sectional Radius (m),Local TSR,Flow Angle (°),Blade Setting Angle (°),Chord Length (m)
1,0.0100,0.1667,53.6918,48.6918,0.0201
2,0.0200,0.3333,47.7100,42.7100,0.0322
3,0.0300,0.5000,42.2900,37.2900,0.0384
4,0.0399,0.6667,37.5400,32.5400,0.0408
5,0.0499,0.8333,33.4630,28.4630,0.0408
6,0.0599,1.0000,30.0000,25.0000,0.0396
7,0.0699,1.1667,27.0675,22.0675,0.0377
8,0.0799,1.3333,24.5799,19.5799,0.0357
9,0.0899,1.5000,22.4600,17.4600,0.0336
10,0.0998,1.6667,20.6425,15.6425,0.0316
11,0.1098,1.8333,19.0736,14.0736,0.0297
12,0.1198,2.0000,17.7100,12.7100,0.0280
13,0.1298,2.1667,16.5168,11.5168,0.0264
14,0.1398,2.3333,15.4657,10.4657,0.0249
15,0.1498,2.5000,14.5343,9.5343,0.0236
16,0.1597,2.6667,13.7040,8.7040,0.0224
17,0.1697,2.8333,12.9600,7.9600,0.0213
18,0.1797,3.0000,12.2900,7.2900,0.0203
19,0.1897,3.1667,11.6837,6.6837,0.0194
20,0.1997,3.3333,11.1328,6.1328,0.0185
21,0.2097,3.5000,10.6303,5.6303,0.0177
22,0.2197,3.6667,10.1701,5.1701,0.0170
23,0.2296,3.8333,9.7472,4.7472,0.0163
24,0.2396,4.0000,9.3575,4.3575,0.0157
25,0.2496,4.1667,8.9972,3.9972,0.0151
26,0.2596,4.3333,8.6631,3.6631,0.0146
27,0.2696,4.5000,8.3525,3.3525,0.0141
28,0.2796,4.6667,8.0632,3.0632,0.0136
29,0.2895,4.8333,7.7929,2.7929,0.0132
30,0.2995,5.0000,7.5400,2.5400,0.0128


Summary Data
Parameter,Value
Lift Coefficient (CL),0.8
Angle of Attack (α) (°),5.0
Required Power (W),21
Design Wind Speed (m/s),7.0
Tip Speed Ratio (λ),5.0
Number of Blades,3
Power Coefficient (Cp),0.4
Air Density (Kg/m³),1.224
Efficiency (η),0.9
Number of Sections,30
Rotor Radius (m),0.2995
Rotor Area (m²),0.2819
Solidity (σ),0.0764
Total Blade Area (m²),0.0215
Segment Length (m),0.0100
Single Blade Area (m²),0.0072
